#country_roads_J_Denver.csv
# Created on: 2024/02/10
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
5,12,17,20,24,29  #Em
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
5,12,17,20,24,29  #Em
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
15,22,27,31  #D
5,12,17,20,24,29  #Em
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
5,12,17,20,24,29  #Em
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
5,12,17,20,24,29  #Em
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
15,22,27,31  #D
5,12,17,20,24,29  #Em
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
5,12,17,20,24,29  #Em
15,22,27,31  #D
8,12,15,20,24,32  #G
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
5,12,17,20,24,29  #Em
18,22,25,29  #FM7
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
15,22,25,31  #D7
8,12,15,20,24,32  #G
15,22,27,31  #D
5,12,17,20,24,29  #Em
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
8,12,15,20,24,32  #G
15,22,27,31  #D
5,12,17,20,24,29  #Em
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
13,17,20,25,29  #C
8,12,15,20,24,32  #G
15,22,27,31  #D
8,12,15,20,24,32  #G
15,22,27,31  #D
8,12,15,20,24,32  #G

